,Page,Title,City,Tag,Link,Logo
73,itviec,Chuyên Viên Kiểm Định Mô Hình,Hà Nội,Chuyên Viên Kiểm Định Mô Hình,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kiem-dinh-mo-hinh.35BA2E3B.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
74,itviec,Test Engineer (MỚI),"Bình Dương
Hồ Chí Minh
Đồng Nai",Test Engineer (MỚI),https://careerbuilder.vn/vi/tim-viec-lam/test-engineer.35BAE604.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
75,itviec,Website development (Frontend/Fullstack/Backend),Hồ Chí Minh,Website development (Frontend/Fullstack/Backend),https://careerbuilder.vn/vi/tim-viec-lam/website-development-frontend-fullstack-backend.35BA6798.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
76,itviec,.NET Developer,Hồ Chí Minh,.NET Developer,https://careerbuilder.vn/vi/tim-viec-lam/net-developer.35BA6913.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
77,itviec,SENIOR BACKEND AND MIDDLE BACKDEND (NODEJS/TYPESCRIPT),Hồ Chí Minh,SENIOR BACKEND AND MIDDLE BACKDEND (NODEJS/TYPESCRIPT),https://careerbuilder.vn/vi/tim-viec-lam/senior-backend-and-middle-backdend-nodejs-typescript.35BA679A.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
78,itviec,"FULLSTACK WEB DEVELOPER (PHP, MYSQL, HTML5, CSS, JAVASCRIPT)",Hồ Chí Minh,"FULLSTACK WEB DEVELOPER (PHP, MYSQL, HTML5, CSS, JAVASCRIPT)",https://careerbuilder.vn/vi/tim-viec-lam/fullstack-web-developer-php-mysql-html5-css-javascript.35BA67A1.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
79,itviec,Digital Solutions Intern (Good at Angular/Java),"Đồng Nai
Hồ Chí Minh
Bình Dương",Digital Solutions Intern (Good at Angular/Java),https://careerbuilder.vn/vi/tim-viec-lam/digital-solutions-intern-good-at-angular-java.35BA6790.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
80,itviec,Java Developer,Hà Nội,Java Developer,https://careerbuilder.vn/vi/tim-viec-lam/java-developer.35BA67BE.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
81,itviec,"Executive, Business Intelligence (Data Engineering)",Hồ Chí Minh,"Executive, Business Intelligence (Data Engineering)",https://careerbuilder.vn/vi/tim-viec-lam/executive-business-intelligence-data-engineering.35BA693F.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
82,itviec,IT - Cloud Architect (Kiến trúc sư hạ tầng Điện toán đám mây),Hồ Chí Minh,IT - Cloud Architect (Kiến trúc sư hạ tầng Điện toán đám mây),https://careerbuilder.vn/vi/tim-viec-lam/it-cloud-architect-kien-truc-su-ha-tang-dien-toan-dam-may.35BA6879.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
